证券代码,证券简称,综合评级,年度,综合得分,E评级,E得分,S评级,S得分,G评级,G得分
000683.SZ,远兴能源,B,2009,72.54,C,57.45,B,71.41,BBB,81
000685.SZ,中山公用,B,2009,72.28,C,50.83,CCC,67.79,A,85.19
000686.SZ,东北证券,BBB,2009,81.48,CCC,67.27,BBB,81.39,A,88.32
000688.SZ,国城矿业,CC,2009,62,C,47.45,BB,78.63,C,56.66
000690.SZ,宝新能源,BBB,2009,80.35,CC,60.37,BBB,83.93,A,87.78
000691.SZ,亚太实业,CC,2009,64.05,C,54.67,BB,76.8,C,55.07
000692.SZ,惠天热电,CCC,2009,68.93,C,54.54,CC,64.41,BB,78.48
000695.SZ,滨海能源,B,2009,74.87,CC,61.13,B,73.07,BBB,82.51
000697.SZ,炼石航空,CCC,2009,66.12,C,51.14,CC,63.77,BB,75.35
000698.SZ,沈阳化工,B,2009,71.01,C,52.87,CCC,67.51,BBB,82.64
000700.SZ,模塑科技,CCC,2009,69.17,C,58.7,CC,60.78,BBB,80.18
000701.SZ,厦门信达,B,2009,72.63,C,49.66,BBB,80.46,BB,79.88
000702.SZ,正虹科技,B,2009,71.22,C,59.4,C,59.06,A,85.45
000703.SZ,恒逸石化,CCC,2009,66.86,C,55.88,C,57.74,BB,78.62
000705.SZ,浙江震元,B,2009,74.25,C,45.69,AA,90.23,BBB,81.2
000707.SZ,双环科技,BB,2009,76.68,CCC,68.88,B,71.7,BBB,84.02
000708.SZ,中信特钢,B,2009,71.86,C,55.88,CCC,65.29,BBB,84.45
000709.SZ,河钢股份,B,2009,70.36,C,57.81,CC,60.45,BBB,83.46
000710.SZ,贝瑞基因,BB,2009,75.62,C,59.45,B,72.57,A,86.79
000711.SZ,京蓝科技,CCC,2009,69.9,C,51.36,CCC,67.28,BBB,80.84
000712.SZ,锦龙股份,B,2009,73.55,C,59.69,CCC,67.36,BBB,84.47
000713.SZ,丰乐种业,B,2009,71.06,CC,63.12,C,58.58,AA,91.33
000715.SZ,中兴商业,B,2009,74.29,C,49.66,A,85.35,BBB,81.19
000716.SZ,黑芝麻,CCC,2009,68.7,C,47.5,CC,62.94,BBB,83.42
000717.SZ,中南股份,CCC,2009,69.6,C,57.81,CC,62.45,BBB,80.44
000718.SZ,苏宁环球,BB,2009,77.66,C,56.69,A,85.16,BB,77.48
000719.SZ,中原传媒,C,2009,59.2,C,50.79,C,49.21,B,72.83
000720.SZ,新能泰山,CCC,2009,69.85,C,51.25,CCC,69.02,BB,79.24
000721.SZ,西安饮食,B,2009,72.89,C,54.11,BBB,83.65,BB,76.26
000722.SZ,湖南发展,CCC,2009,67.7,C,52.89,C,59.14,BB,79.86
000723.SZ,美锦能源,BB,2009,75.16,C,57.61,B,74.39,BBB,84.63
000725.SZ,京东方A,B,2009,74.69,CC,62.35,CCC,68.6,A,85.1
000726.SZ,鲁泰A,B,2009,73.42,C,59.4,CCC,65.26,A,86.09
000727.SZ,冠捷科技,B,2009,73.49,C,57.67,B,70.82,BBB,83.38
000728.SZ,国元证券,BBB,2009,83.54,CCC,65.02,BBB,84.39,AA,91.77
000729.SZ,燕京啤酒,BB,2009,79.24,CCC,69.03,BB,76.24,A,86.48
000731.SZ,四川美丰,B,2009,72.29,C,59.25,CC,62.91,A,85.27
000732.SZ,ST泰禾,BB,2009,79.14,CCC,67.43,BBB,82.51,BB,79.81
000733.SZ,振华科技,B,2009,72.64,C,55.88,CC,62.8,A,87.83
000735.SZ,罗牛山,B,2009,70.17,CC,64.22,C,52.81,AAA,96.13
